4.170220047025740007e-01,4.191945144032948045e-01
7.203244934421580981e-01,6.852195003967594955e-01
1.143748173448866368e-04,2.044522497315174325e-01
3.023325726318397688e-01,8.781174363909454161e-01
1.467558908171130438e-01,2.738759319792616331e-02
9.233859476879779926e-02,6.704675101784022262e-01
1.862602113776709034e-01,4.173048023671269702e-01
3.455607270430477440e-01,5.586898284457516572e-01
3.967674742306699365e-01,1.403869385952337678e-01
5.388167340033569452e-01,1.981014890848787902e-01
